entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime,regime_confidence
2025-05-15 09:30:00,10830,10858,1.2674,1.3307700000000002,-5.010000000000011,False,SL,0.6562380015868494,44.05607584550933,28,Favorable,Medium
2025-05-16 04:00:00,10904,10976,1.3045,1.2066625,7.490000000000001,True,TP,0.7053902279057044,39.86587592633799,72,Favorable,Low
2025-05-17 05:00:00,11004,11100,1.1841,1.2433049999999999,-5.009999999999996,False,SL,0.6700501774876286,42.87859554242846,96,Highly Favorable,High
2025-05-19 19:00:00,11252,11343,1.2153,1.276065,-5.009999999999996,False,SL,0.6364806635954985,45.74037790575278,91,Favorable,Low
2025-05-23 15:45:00,11623,11687,1.5587,1.4417975,7.489999999999994,True,TP,0.6841530652988013,41.676332210893676,64,Favorable,Low
2025-05-24 13:15:00,11709,11785,1.4715,1.3611375000000001,7.489999999999994,True,TP,0.7353961298896815,37.307889493489604,76,Favorable,Low
2025-05-25 14:00:00,11808,11843,1.3764,1.4452200000000002,-5.010000000000008,False,SL,0.6985527837822084,40.44876422986578,35,Favorable,Low
2025-05-26 16:15:00,11913,12098,1.4089,1.3032325,7.490000000000001,True,TP,0.7508743872874958,35.98837667068273,185,Favorable,Low
2025-05-28 22:00:00,12128,12235,1.2759,1.1802075,7.489999999999997,True,TP,0.8071148788953292,31.193906083316868,107,Highly Favorable,High
2025-05-30 12:00:00,12280,12298,1.1228,1.0385900000000001,7.4899999999999896,True,TP,0.8675677833245893,26.04032964895731,18,Favorable,Medium
2025-06-01 03:15:00,12437,12486,1.0739,1.1275950000000001,-5.010000000000005,False,SL,0.8241026373800273,29.74570913354455,49,Favorable,Low
2025-06-02 08:30:00,12554,12617,1.1061,1.1614050000000002,-5.010000000000014,False,SL,0.7828150952472879,33.26544910595398,63,Favorable,Low
2025-06-03 11:30:00,12662,12675,1.1332,1.1898600000000001,-5.010000000000014,False,SL,0.7435960589753986,36.608850105745695,13,Favorable,Low
2025-06-04 05:45:00,12735,12792,1.0548,0.9756900000000001,7.489999999999991,True,TP,0.799291403792656,31.86085297866605,57,Highly Favorable,High
2025-06-05 09:45:00,12847,12868,0.9018,0.9468900000000001,-5.010000000000008,False,SL,0.7592469044626439,35.27462424443488,21,Favorable,Medium
2025-06-07 02:00:00,13008,13021,0.9719,1.020495,-5.0099999999999945,False,SL,0.7212086345490655,38.51736556978869,13,Favorable,Low
2025-06-07 22:00:00,13088,13161,1.0112,1.0617600000000003,-5.010000000000016,False,SL,0.6850760819581572,41.597645554742286,73,Favorable,Low
2025-06-12 07:30:00,13510,13570,1.3348,1.23469,7.489999999999994,True,TP,0.7363882804968231,37.22330920679248,60,Favorable,Low
2025-06-13 09:30:00,13614,13635,1.0982,1.15311,-5.010000000000002,False,SL,0.6994952276439322,40.36842141553218,21,Highly Favorable,High
2025-06-15 03:45:00,13783,13827,1.1816,1.24068,-5.010000000000002,False,SL,0.6644505167389713,43.35596350261402,44,Favorable,Low
2025-06-16 00:30:00,13866,13872,1.2026,1.26273,-5.010000000000002,False,SL,0.6311615458503488,46.19382973113306,6,Favorable,Low
2025-06-16 15:15:00,13925,13941,1.2474,1.30977,-5.0100000000000025,False,SL,0.5995403524032463,48.88951886160329,16,Favorable,Low
2025-06-17 07:15:00,13989,14033,1.1714,1.083545,7.490000000000001,True,TP,0.6444459247982495,45.06134382433738,44,Highly Favorable,High
2025-06-17 22:15:00,14049,14211,1.1216,1.03748,7.489999999999998,True,TP,0.6927149245656383,40.94643847678025,162,Favorable,Medium
2025-06-20 04:15:00,14265,14305,1.0258,0.9488650000000001,7.489999999999997,True,TP,0.7445992724156046,36.52332671869109,40,Favorable,Medium
2025-06-20 22:15:00,14337,14410,0.9296,0.85988,7.490000000000001,True,TP,0.8003697579195334,31.76892388992106,73,Highly Favorable,High
2025-06-22 02:45:00,14451,14493,0.8738,0.808265,7.490000000000001,True,TP,0.8603174527877063,26.658416289276154,42,Favorable,Medium
2025-06-22 19:30:00,14518,14522,0.8442,0.88641,-5.0100000000000104,False,SL,0.8172155484030421,30.33282963318343,4,Favorable,Low
2025-06-23 13:00:00,14588,14605,0.8999,0.944895,-5.010000000000001,False,SL,0.7762730494280496,33.82315486856095,17,Favorable,Low
2025-06-24 13:15:00,14685,14699,1.0231,1.074255,-5.010000000000007,False,SL,0.7373817696517043,37.13861480964604,14,Favorable,Low
2025-06-25 14:15:00,14785,14846,1.0411,0.9630175,7.489999999999995,True,TP,0.792611664198617,32.430297058888534,61,Favorable,Low
2025-06-26 14:00:00,14880,14906,0.9567,1.004535,-5.009999999999996,False,SL,0.7529018198222663,35.81553917623821,26,Favorable,Medium
2025-06-26 23:00:00,14916,14949,0.946,0.9933,-5.010000000000002,False,SL,0.7151814386491707,39.03118066350868,33,Favorable,Low
2025-06-27 17:30:00,14990,15019,0.9689,1.017345,-5.009999999999996,False,SL,0.6793508485728473,42.08571851226689,29,Favorable,Low
2025-06-30 08:15:00,15241,15379,1.1358,1.050615,7.489999999999987,True,TP,0.7302342271309535,37.747938828835686,138,Favorable,Low
2025-07-04 19:15:00,15669,15715,1.1538,1.21149,-5.010000000000002,False,SL,0.6936494923516927,40.86676709351102,46,Favorable,Low
2025-07-06 05:30:00,15806,15960,1.1778,1.089465,7.490000000000005,True,TP,0.7456038393288345,36.437687948815004,154,Favorable,Low
2025-07-08 12:30:00,16026,16185,1.0901,1.144605,-5.0100000000000025,False,SL,0.7082490869784598,39.622159782579374,159,Favorable,Low
2025-07-11 20:00:00,16344,16409,1.3166,1.2178550000000001,7.4899999999999896,True,TP,0.7612969435931464,35.099859550294575,65,Favorable,Low
2025-07-12 22:45:00,16451,16471,1.2439,1.306095,-5.010000000000001,False,SL,0.7231559667191297,38.35135658682482,20,Favorable,Low
2025-07-14 17:30:00,16622,16681,1.3328,1.23284,7.490000000000004,True,TP,0.7773203486263925,33.733873195178,59,Favorable,Low
2025-07-15 14:30:00,16706,16804,1.227,1.28835,-5.010000000000002,False,SL,0.7383765991602103,37.05380614809958,98,Favorable,Medium
2025-07-18 14:15:00,16993,17017,1.4288,1.3216400000000001,7.489999999999994,True,TP,0.79368100643731,32.33913622859224,24,Favorable,Low
2025-07-19 06:30:00,17058,17089,1.3638,1.4319899999999999,-5.009999999999999,False,SL,0.7539175880148007,35.72894550353978,31,Favorable,Low
